courses,createdAt,email,entryYear,gradeLevel,id,name,phone,schoolId,totalScore,type,updatedAt
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS636333"", ""CRS445791"", ""CRS829699""]",2025-03-31T18:05:19.761101,spencer652@student.revoducate.edu,2020,12,770008099,Spencer Anderson,490.460.9012x1181,SCH594112,91.7,student,2025-03-31T18:05:19.792349
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS445791"", ""CRS010114"", ""CRS829699"", ""CRS636333""]",2025-03-31T18:05:19.763102,lori965@student.revoducate.edu,2022,10,175298707,Lori Rodriguez,+1-973-938-8484x288,SCH594112,60.1,student,2025-03-31T18:05:19.794666
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS829699"", ""CRS636333"", ""CRS445791"", ""CRS010114""]",2025-03-31T18:05:19.761101,sherry211@student.revoducate.edu,2022,10,313178130,Sherry Greer,(275)656-3654x1367,SCH594112,83.6,student,2025-03-31T18:05:19.796669
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS636333"", ""CRS445791"", ""CRS010114"", ""CRS829699""]",2025-03-31T18:05:19.761101,scott152@student.revoducate.edu,2020,12,127372074,Scott Rollins,2555112134,SCH594112,67.8,student,2025-03-31T18:05:19.798176
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS636333"", ""CRS010114"", ""CRS829699""]",2025-03-31T18:05:19.761101,angela638@student.revoducate.edu,2023,9,959279485,Angela Lowe,(639)247-1479x32616,SCH594112,78.1,student,2025-03-31T18:05:19.800175
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS829699"", ""CRS445791"", ""CRS010114"", ""CRS636333""]",2025-03-31T18:05:19.761101,derek276@student.revoducate.edu,2021,11,341148075,Derek George,(206)319-4422,SCH594112,77.5,student,2025-03-31T18:05:19.802736
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS636333"", ""CRS445791"", ""CRS010114"", ""CRS829699""]",2025-03-31T18:05:19.761101,justin562@student.revoducate.edu,2022,10,639981605,Justin Townsend,436.888.3573x9417,SCH594112,58.5,student,2025-03-31T18:05:19.804751
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS829699"", ""CRS010114"", ""CRS636333""]",2025-03-31T18:05:19.761101,jacqueline440@student.revoducate.edu,2021,11,629493943,Jacqueline Lowery,698.843.7566x94697,SCH594112,71.7,student,2025-03-31T18:05:19.806751
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS829699"", ""CRS636333"", ""CRS445791"", ""CRS010114""]",2025-03-31T18:05:19.761101,alexis822@student.revoducate.edu,2020,12,236484073,Alexis Elliott,466.852.3810x4708,SCH594112,64.6,student,2025-03-31T18:05:19.807962
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS829699"", ""CRS636333"", ""CRS445791"", ""CRS010114""]",2025-03-31T18:05:19.761101,james334@student.revoducate.edu,2022,10,917567129,James Burton,(701)855-8431x590,SCH594112,60.9,student,2025-03-31T18:05:19.809963
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS636333"", ""CRS010114"", ""CRS829699""]",2025-03-31T18:05:19.761101,shelly801@student.revoducate.edu,2022,10,417381217,Shelly Allen,816-858-2485,SCH594112,92.4,student,2025-03-31T18:05:19.813463
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS829699"", ""CRS636333"", ""CRS445791"", ""CRS010114""]",2025-03-31T18:05:19.761101,david549@student.revoducate.edu,2022,10,867933678,David Mann,(466)551-1641,SCH594112,71.4,student,2025-03-31T18:05:19.815464
"[""CRS282114"", ""CRS563301"", ""CRS279712"", ""CRS829699"", ""CRS636333"", ""CRS445791"", ""CRS010114""]",2025-03-31T18:05:19.761101,sheila377@student.revoducate.edu,2020,12,693450520,Sheila Clark,442-610-2619x2621,SCH594112,63.1,student,2025-03-31T18:05:19.817989
