courses,createdAt,department,email,id,name,phone,schoolId,title,type,updatedAt
"[""CRS400533"", ""CRS970510""]",2025-03-20T18:55:28.806898,Science,ashley.massey@revoducate.edu,858256706,Ashley Massey,653.746.6549,SCH668649,Ms.,teacher,2025-03-20T18:55:29.191174
"[""CRS071691""]",2025-03-20T18:55:28.806898,Arts,janice.farmer@revoducate.edu,722801170,Janice Farmer,001-248-831-1220x494,SCH668649,Dr.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.806898,Computer Science,craig.hines@revoducate.edu,830353354,Craig Hines,5386441413,SCH668649,Mrs.,teacher,2025-03-20T18:55:28.806898
"[""CRS877046""]",2025-03-20T18:55:28.806898,Physical Education,abigail.smith@revoducate.edu,503461650,Abigail Smith,408.277.7906x085,SCH668649,Mrs.,teacher,2025-03-20T18:55:29.191174
"[""CRS774420""]",2025-03-20T18:55:28.806898,Humanities,tim.martin@revoducate.edu,134815415,Tim Martin,(474)720-0184x8944,SCH668649,Dr.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.806898,Physical Education,kathryn.murphy@revoducate.edu,630817178,Kathryn Murphy,+1-982-306-3338,SCH668649,Ms.,teacher,2025-03-20T18:55:28.806898
"[""CRS990525"", ""CRS412374""]",2025-03-20T18:55:28.807468,Science,kayla.douglas@revoducate.edu,137412861,Kayla Douglas,(243)705-8087x825,SCH668649,Ms.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.807468,Arts,chad.collins@revoducate.edu,225635456,Chad Collins,+1-651-429-6915,SCH668649,Dr.,teacher,2025-03-20T18:55:28.807468
"[""CRS400533""]",2025-03-20T18:55:28.807468,Social Studies,ashley.harris@revoducate.edu,729435213,Ashley Harris,2438340908,SCH668649,Mrs.,teacher,2025-03-20T18:55:29.191174
"[""CRS304501""]",2025-03-20T18:55:28.807468,Science,danielle.bowers@revoducate.edu,736195720,Danielle Bowers,(233)771-2307x852,SCH668649,Mr.,teacher,2025-03-20T18:55:29.191174
[],2025-03-20T18:55:28.807468,Mathematics,jean.wong@revoducate.edu,467151840,Jean Wong,(872)465-8782x742,SCH668649,Mr.,teacher,2025-03-20T18:55:28.807468
[],2025-03-20T18:55:28.807468,Science,sarah.lewis@revoducate.edu,299633969,Sarah Lewis,760-744-6865,SCH668649,Prof.,teacher,2025-03-20T18:55:28.807468
[],2025-03-20T18:55:28.807468,Special Education,kathy.wright@revoducate.edu,930346071,Kathy Wright,001-670-391-4974x2976,SCH668649,Ms.,teacher,2025-03-20T18:55:28.807468
[],2025-03-20T18:55:28.807468,Physical Education,thomas.mendoza@אורטבהאמס.edu,697456515,Thomas Mendoza,+1-746-550-7553x31431,SCH808579,Mr.,teacher,2025-03-20T18:55:28.807468
[],2025-03-20T18:55:28.807468,Languages,mary.thompson@אורטבהאמס.edu,715907852,Mary Thompson,317-769-7891,SCH808579,Dr.,teacher,2025-03-20T18:55:28.807468
